Code ,REF,SPECIES,GENUS,FAMILY,NRCS_GENUS,NRCS_SPECIES,SITE,COUNTRY,STATE_PROVINCE,LATITUDE,LONGITUDE,ELEVATION_m,STRTYR,ENDYR,Nyears,COMMENTS,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
1ABAM_OR,SCHULZE & FRANKLIN 2018; FRANKLIN ET AL 1974,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,SANTIAM PASS,USA,OR,44.39085,-121.8494,1446.1,1962,2002,41,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,6,0,21,0,0,25,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2ABCO_OR,SCHULZE & FRANKLIN 2019,ABIES CONCOLOR,ABIES,PINACEAE,ABIES,ABCO,ASHLAND RNA,USA,OR,42.10711,-122.69266,1400,1981,2017,34,"Andrews Forest LTER, initiated by Franklin in 64",NA,35,3,0,12,0,0,41,0,1,0,203,0,2,0,155,0,80,0,78,0,31,0,54,0,0,73,0,0,29,0,6,0,0,60
3ABCO_OR,SCHULZE & FRANKLIN 2019,ABIES CONCOLOR,ABIES,PINACEAE,ABIES,ABCO,WICKIUP SPRINGS,USA,OR,42.6058,-122.2966,1479,1981,2017,33,"Andrews Forest LTER, initiated by Franklin in 68",NA,22,0,0,0,7,0,42,0,0,0,64,0,20,0,0,0,85,0,40,0,0,0,48,0,0,0,0,0,NA,0,12,0,0,0
4ABLA_OR,SCHULZE & FRANKLIN 2019,ABIES LASIOCARPA,ABIES,PINACEAE,ABIES,ABLA,SAND MOUNTAIN,USA,OR,44.383333,-121.921667,1421.5,1959,2019,54,LARGER LTER DATASET REPLACES WOODWARD ET AL. 1994 DATA,0,1,26,0,0,6,0,2,0,0,0,95,0,0,0,0,0,2,0,19,0,0,1,2,0,0,1,0,0,10,0,2,0,0,6
5ABMA_OR,SCHULZE & FRANKLIN 2019,ABIES MAGNIFICA,ABIES,PINACEAE,ABIES,ABMA,MERIDIAN OVERLOOK,USA,OR,42.06784,-122.76418,2109,1981,2017,34,"Andrews Forest LTER, initiated by Franklin in 66",NA,0,9,0,0,10,8,0,0,3,1,118,0,1,0,0,39,4,0,5,0,0,20,82,0,3,41,0,9,1,25,17,0,21,1
6ABMA_OR,SCHULZE & FRANKLIN 2019,ABIES MAGNIFICA,ABIES,PINACEAE,ABIES,ABMA,WICKIUP SPRINGS,USA,OR,42.6058,-122.2966,1479,1981,2017,33,"Andrews Forest LTER, initiated by Franklin in 69",NA,22,0,0,0,13,1,6,0,12,0,0,38,0,0,1,0,73,0,21,0,0,1,82,0,1,1,0,6,NA,0,25,0,17,0
7PILA_OR,SCHULZE & FRANKLIN 2019,PINUS LAMBERTIANA,PINUS,PINACEAE,PINUS,PILA,ASHLAND RNA,USA,OR,42.10711,-122.69266,1400,1981,2017,34,"Andrews Forest LTER, initiated by Franklin in 65",NA,0,22,0,0,0,0,40,1,1,2,0,0,0,0,11,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
8TSME_OR,SCHULZE & FRANKLIN 2019,TSUGA MERTENSIANA,TSUGA,PINACEAE,TSUGA,TSME,MERIDIAN OVERLOOK,USA,OR,42.06784,-122.76418,2109,1981,2017,34,"Andrews Forest LTER, initiated by Franklin in 67",NA,9,53,0,0,400,0,0,0,55,0,613,0,0,0,68,0,108,0,135,0,0,0,530,0,0,325,0,0,215,0,340,0,35,145
9TSME_OR,SCHULZE & FRANKLIN 2019,TSUGA MERTENSIANA,TSUGA,PINACEAE,TSUGA,TSME,SANTIAM PASS,USA,OR,44.39085,-121.8494,1446.1,1962,2003,42,LARGER LTER DATASET REPLACES WOODWARD ET AL. 1994 DATA,51,17,300,0,0,200,0,0,0,0,0,0,0,0,0,0,0,98,0,30,0,0,0,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10ABAM_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,IRON MOUNTAIN,USA,OR,44.39151,-122.14656,1219.5,1962,2019,53,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,25,10,51,0,0,97,0,0,3,1,0,40,3,0,0,0,0,83,0,20,10,0,4,50,0,1,1,4,0,65,0,28,0,3,19
11ABAM_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,WILDCAT MOUNTAIN,USA,OR,44.35633,-122.1086,1577.1,1967,2019,48,NOT PRESENT IN FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,19,0,12,0,0,27,0,0,0,0,0,29,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12ABGR_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES GRANDIS,ABIES,PINACEAE,ABIES,ABGR,BESSIE ROCK,USA,OR,42.82,-121.5,1423,1967,2016,48,NOT PRESENT IN FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,10,100,0,0,100,0,0,96,0,29,0,330,0,33,0,208,0,80,0,115,0,60,0,100,0,2,72,0,1,110,0,30,0,0,37
13ABMAS_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES MAGNIFICA SHASTENTIS,ABIES,PINACEAE,ABIES,ABMAS,BESSIE ROCK,USA,OR,42.84,-121.5,1423,1966,2016,49,NOT PRESENT IN FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,10,38,1,0,3,2,21,1,0,19,0,0,23,0,0,1,1,65,0,38,0,0,11,56,0,4,10,0,0,47,0,20,0,19,32
14ABPR_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES PROCERA,ABIES,PINACEAE,ABIES,ABPR,MARYS PEAK,USA,OR,44.5043,-123.5509,1215.1,1962,2017,53,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,21,13,78,0,0,131,2,43,25,26,0,98,1,15,0,133,0,46,0,65,21,75,1,88,0,0,15,66,0,77,0,41,0,38,0
15ABPR_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES PROCERA,ABIES,PINACEAE,ABIES,ABPR,WILDCAT MOUNTAIN,USA,OR,44.37633,-122.1086,1577.1,1962,2019,53,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,20,6,43,0,0,60,2,5,4,0,0,22,14,0,0,74,0,13,0,3,1,0,2,23,0,3,4,9,1,28,0,31,0,2,1
16PIMO3_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,PINUS MONTICOLA,PINUS,PINACEAE,PINUS,PIMO3,BESSIE ROCK,USA,OR,42.8,-121.5,1423,1966,2016,49,NOT PRESENT IN FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,23,42,12,11,24,27,7,18,0,2,0,8,0,0,0,7,0,4,0,14,0,0,0,16,0,3,34,0,3,39,0,2,0,0,0
17TSME_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,TSUGA MERTENSIANA,TSUGA,PINACEAE,TSUGA,TSME,CARPENTER MOUNTAIN,USA,OR,44.28122,-122.144,1605.7,1962,2019,53,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,26,75,200,0,0,200,0,0,12,0,0,290,0,6,0,160,0,385,0,55,0,3,0,425,0,4,1,155,0,270,0,70,0,35,85
18TSME_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,TSUGA MERTENSIANA,TSUGA,PINACEAE,TSUGA,TSME,DEADMANS CURVE,USA,OR,45.31029,-121.7081,1498.9,1962,2019,53,UPDATED FROM FRANKLIN 1968,59,27,250,0,0,15,0,1,0,0,0,420,0,0,0,0,0,228,0,100,0,0,20,325,0,7,0,268,0,23,0,118,0,68,0
19TSME_OR,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,TSUGA MERTENSIANA,TSUGA,PINACEAE,TSUGA,TSME,WILDCAT MOUNTAIN,USA,OR,44.33633,-122.1086,1577.1,1967,2019,48,NOT PRESENT IN FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,12,27,200,0,0,200,0,2,1,0,0,425,0,0,0,80,0,37,0,4,0,5,0,200,0,1,0,85,0,95,0,33,0,4,7
21PIEN_WA,SCHULZE & FRANKLIN 2018; FRANKLIN ET AL 1974,PICEA ENGELMANNII,PICEA,PINACEAE,PICEA,PIEN,LOST PRAIRIE,USA,WA,44.4,-121.4,856.1,1967,1985,19,NOT PRESENT IN FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,200,100,300,0,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22ABAM_WA,SCHULZE & FRANKLIN 2019,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,SISTER LAKE,USA,WA,45.94993,-122.03979,1079,1981,2019,34,"Andrews Forest LTER, initiated by Franklin in 63",NA,0,26,0,0,35,0,0,1,0,0,28,0,3,0,28,0,6,0,1,0,2,6,11,0,0,0,13,0,7,0,9,0,1,0
23ABLA_WA,SCHULZE & FRANKLIN 2019,ABIES LASIOCARPA,ABIES,PINACEAE,ABIES,ABLA,STEAMBOAT MOUNTAIN,USA,WA,44.383333,-121.921667,1421.5,1962,2019,52,LARGER LTER DATASET REPLACES WOODWARD ET AL. 1994 DATA; UPDATED FROM FRANKLIN 1968,0,12,43,0,0,5,4,3,0,25,0,82,0,0,0,0,0,65,0,0,0,0,9,45,0,0,4,17,0,6,0,13,0,0,0
25TSME_WA,SCHULZE & FRANKLIN 2019,TSUGA MERTENSIANA,TSUGA,PINACEAE,TSUGA,TSME,MOSQUITO LAKE,USA,WA,46.1005,-121.66627,1442.2,1962,2019,53,"Andrews Forest LTER, initiated by Franklin in 62",6,0,450,0,0,500,0,35,0,0,0,0,59,7,3,410,43,240,0,0,0,35,5,310,0,0,0,150,0,110,0,30,0,0,0
26TSME_WA,SCHULZE & FRANKLIN 2019,TSUGA MERTENSIANA,TSUGA,PINACEAE,TSUGA,TSME,STEAMBOAT MOUNTAIN,USA,WA,46.139167,-121.718056,1253.6,1962,2019,53,LARGER LTER DATASET REPLACES WOODWARD ET AL. 1994 DATA; UPDATED FROM FRANKLIN 1968,100,0,200,2,0,73,4,0,6,0,0,150,0,6,0,82,0,413,0,5,0,2,11,385,0,75,0,350,0,85,0,248,0,113,0
27PIMO3_WA,"SCHULZE & FRANKLIN 2019, FRANKLIN ET AL 1974",PINUS MONTICOLA,PINUS,PINACEAE,PINUS,PIMO3,PETERSON PRAIRIE,USA,WA,46.0442,-121.6926,1133.8,1962,2017,53,"UPDATED FROM FRANKLIN 1968, UPDATED FROM FRANKLIN 1974",57,47,45,17,47,84,0,65,16,37,8,52,0,49,7,110,4,86,0,91,0,31,0,24,28,33,67,0,0,80,11,32,0,67,0
28ABAM_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,BARE MOUNTAIN,USA,WA,45.91213,-122.06913,1230.1,1962,2019,53,"UPDATED FROM FRANKLIN 1968, UPDATED FROM FRANKLIN 1974",24,0,36,0,0,58,0,8,2,0,0,39,0,9,0,59,0,26,0,1,5,2,9,13,0,0,0,25,0,12,0,20,0,0,3
30ABAM_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,GLACIER CREEK 1,USA,WA,48.90064,-121.9372,381.3,1961,2019,54,UPDATED FROM FRANKLIN 1968,5,0,34,0,0,45,0,0,5,0,4,20,0,25,0,9,1,33,0,0,25,1,4,15,0,0,0,12,0,6,0,4,0,7,0
31ABAM_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,GLACIER CREEK 2,USA,WA,48.92064,-121.9372,381.3,1963,2019,51,UPDATED FROM FRANKLIN 1968,2,0,33,0,0,27,NA,0,9,0,3,25,0,28,0,19,1,54,0,1,36,0,6,33,0,5,0,21,0,13,0,9,0,20,0
33ABAM_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,MOSQUITO LAKES,USA,WA,46.1005,-121.66627,1442.2,1962,2019,53,"UPDATED FROM FRANKLIN 1968, UPDATED FROM FRANKLIN 1974",13,0,39,0,0,31,0,3,1,0,0,15,0,6,0,15,0,7,0,0,0,0,11,5,0,0,0,11,0,5,0,1,0,0,0
35ABAM_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,STAMPEDE PASS,USA,WA,47.1798,-121.349,939.4,1962,2019,53,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,1,0,27,0,0,48,0,0,3,0,3,4,0,24,0,7,0,8,0,0,19,0,4,10,0,0,0,15,0,6,0,3,0,3,0
36ABAM_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,TIMBERLINE ROAD,USA,WA,45.31029,-121.7081,1498.9,1962,2019,53,UPDATED FROM FRANKLIN 1968,18,4,56,0,0,0,0,0,7,0,0,67,0,0,0,0,0,60,0,6,0,0,7,21,0,3,1,3,0,19,0,2,0,0,0
37ABAM_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES AMABILIS,ABIES,PINACEAE,ABIES,ABAM,TUNNEL CREEK,USA,WA,47.4205,-121.4149,962.6,1963,2019,52,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,3,0,35,0,0,69,0,0,0,0,2,15,0,21,0,3,4,2,0,0,25,1,5,13,0,0,0,27,0,18,0,0,0,3,0
39ABGR_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES GRANDIS,ABIES,PINACEAE,ABIES,ABGR,LOST PRAIRIE,USA,WA,44.406,-122.06725,1014.7,1963,1985,23,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,86,14,105,0,0,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40ABGR_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES GRANDIS,ABIES,PINACEAE,ABIES,ABGR,PETERSON PRAIRIE,USA,WA,46.0442,-121.6926,1133.8,1963,2017,52,"UPDATED FROM FRANKLIN 1968, UPDATED FROM FRANKLIN 1974",70,0,104,0,0,143,0,60,0,57,0,0,4,205,0,160,0,68,0,41,0,28,0,21,0,6,0,90,0,39,0,24,0,42,0
43ABMAS_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES MAGNIFICA SHASTENTIS,ABIES,PINACEAE,ABIES,ABMAS,WINDIGO PASS,USA,WA,43.36479,-122.03374,1778.8,1962,1987,23,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,8,10,2,0,0,22,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44ABPR_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES PROCERA,ABIES,PINACEAE,ABIES,ABPR,BLUE LAKE,USA,WA,45.9,-122.1,682.6,1967,2019,47,"NOT PRESENT IN FRANKLIN 1968,UPDATE FROM FRANKLIN 1974",6,2,51,0,0,82,5,13,4,0,0,54,0,9,0,85,0,NA,0,3,16,0,30,38,4,5,13,54,0,58,0,40,0,12,0
45ABPR_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES PROCERA,ABIES,PINACEAE,ABIES,ABPR,NORTH WILSON,USA,WA,45.1198,-121.6661,1411.9,1962,2003,42,UPDATED FROM FRANKLIN 1968,5,11,14,0,0,27,4,1,0,0,3,0,3,0,0,60,0,20,0,11,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46ABPR_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES PROCERA,ABIES,PINACEAE,ABIES,ABPR,SLEEPING BEAUTY,USA,WA,46.09317,-121.64952,1433.8,1962,2017,53,"UPDATED FROM FRANKLIN 1968, UPDATED FROM FRANKLIN 1974",15,0,43,0,0,21,12,0,11,0,5,9,0,67,0,49,0,40,0,1,10,0,25,7,6,4,1,22,0,28,0,13,0,6,1
48ABPR_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES PROCERA,ABIES,PINACEAE,ABIES,ABPR,STAMPEDE PASS,USA,WA,47.1998,-121.349,939.4,1961,2019,54,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,16,0,47,0,0,22,7,0,0,0,20,13,1,40,0,20,2,32,0,2,42,0,24,9,0,2,0,21,0,23,0,26,0,11,0
49ABPR_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES PROCERA,ABIES,PINACEAE,ABIES,ABPR,TUNNEL CREEK,USA,WA,47.4405,-121.4149,962.6,1961,2019,54,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,53,0,163,4,0,332,0,57,12,0,25,120,7,195,0,51,26,60,0,0,113,2,83,55,3,4,0,72,0,72,0,19,0,47,0
50ABPR_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,ABIES PROCERA,ABIES,PINACEAE,ABIES,ABPR,WILLIAME CREEK,USA,WA,46.5824,-121.7212,675,1962,1985,24,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,65,0,55,0,2,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54PIMO3_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,PINUS MONTICOLA,PINUS,PINACEAE,PINUS,PIMO3,LOST PRAIRIE,USA,WA,44.406,-122.06725,1014.7,1963,1985,23,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,135,21,45,54,13,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55PIMO3_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,PINUS MONTICOLA,PINUS,PINACEAE,PINUS,PIMO3,SANTIAM PASS,USA,WA,44.39085,-121.8494,1446.1,1962,2002,41,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,3,15,1,6,0,4,0,2,2,8,0,3,0,0,0,0,0,4,0,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57PIMO3_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,PINUS MONTICOLA,PINUS,PINACEAE,PINUS,PIMO3,WINDIGO PASS,USA,WA,43.36479,-122.03374,1778.8,1962,1987,23,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,8,53,5,3,21,21,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58TSME_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,TSUGA MERTENSIANA,TSUGA,PINACEAE,TSUGA,TSME,HEATHER MEADOWS,USA,WA,48.8603,-121.6761,1266.8,1962,2019,53,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,57,0,500,0,0,200,43,0,175,100,47,135,0,225,0,305,0,240,0,35,11,215,5,278,0,63,0,190,0,225,0,183,0,0,0
59TSME_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,TSUGA MERTENSIANA,TSUGA,PINACEAE,TSUGA,TSME,STAMPEDE PASS,USA,WA,47.1598,-121.349,939.4,1962,2019,53,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,0,0,80,200,0,110,0,150,0,7,94,52,5,50,0,275,43,163,0,35,155,12,35,275,0,0,0,103,0,148,0,0,0,0,0
60TSME_WA,SCHULZE & FRANKLIN 2019; FRANKLIN ET AL 1974,TSUGA MERTENSIANA,TSUGA,PINACEAE,TSUGA,TSME,WINDIGO PASS,USA,WA,43.36479,-122.03374,1778.8,1962,1987,23,UPDATED FROM FRANKLIN 1968; UPDATED FROM FRANKLIN 1974,1,3,0,0,0,100,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA